 2016-11-20 08:14:48,281 [P4872/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on S0TE6RO6A4D5GL3
 2016-11-20 08:43:35,288 [P2984/D2/T19] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 08:43:35,295 [P2984/D2/T10] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 08:43:49,739 [P2984/D2/T10] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Căn hộ Phùng Hưng' with Id '1117' has been published.
 2016-11-20 08:43:49,886 [P2984/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-11-20 08:43:49,888 [P2984/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 1ms)
 2016-11-20 08:43:54,202 [P2984/D2/T12] INFO  umbraco.content - Save Xml to file...
 2016-11-20 08:43:54,219 [P2984/D2/T12] INFO  umbraco.content - Saved Xml to file.
 2016-11-20 08:43:55,344 [P2984/D2/T8] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'CẦN CHO THUÊ CĂN HỘ EHOME' with Id '1119' has been published.
 2016-11-20 08:43:59,610 [P2984/D2/T10] INFO  umbraco.content - Save Xml to file...
 2016-11-20 08:43:59,615 [P2984/D2/T10] INFO  umbraco.content - Saved Xml to file.
 2016-11-20 08:44:01,447 [P2984/D2/T9] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Căn Hộ Hưng Phát' with Id '1121' has been published.
 2016-11-20 08:44:05,771 [P2984/D2/T10] INFO  umbraco.content - Save Xml to file...
 2016-11-20 08:44:05,793 [P2984/D2/T10] INFO  umbraco.content - Saved Xml to file.
 2016-11-20 09:03:02,230 [P2984/D2/T62] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: manguonmo2016@gmail.com, IP Address: ::1
 2016-11-20 09:09:00,622 [P2984/D2/T53] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username manguonmo2016@gmail.com from IP address ::1
 2016-11-20 09:09:00,625 [P2984/D2/T53] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: manguonmo2016@gmail.com logged in from IP address ::1
 2016-11-20 09:16:12,774 [P2984/D2/T75] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:16:28,313 [P2984/D2/T78] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2016-11-20 09:16:28,316 [P2984/D2/T78] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 3ms)
 2016-11-20 09:22:03,339 [P7228/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on S0TE6RO6A4D5GL3
 2016-11-20 09:22:03,360 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-20 09:22:03,375 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 15ms)
 2016-11-20 09:22:03,458 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-20 09:22:03,512 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 54ms)
 2016-11-20 09:22:03,560 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-20 09:22:03,561 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2016-11-20 09:22:03,562 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-20 09:22:03,563 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-11-20 09:22:03,580 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-20 09:22:03,581 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-11-20 09:22:03,581 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-20 09:22:03,587 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 6ms)
 2016-11-20 09:22:03,655 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-20 09:22:03,656 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-11-20 09:22:03,657 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-20 09:22:03,657 [P7228/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-11-20 09:22:04,937 [P7228/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 09:22:05,336 [P7228/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 09:22:05,519 [P7228/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-20 09:22:05,679 [P7228/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-20 09:22:06,071 [P7228/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-20 09:22:06,071 [P7228/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-20 09:22:06,087 [P7228/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2862ms)
 2016-11-20 09:22:07,062 [P7228/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:56948/umbraco (UmbracoModule request)
 2016-11-20 09:22:07,501 [P7228/D2/T7] INFO  umbraco.content - Load Xml from file...
 2016-11-20 09:22:07,504 [P7228/D2/T7] INFO  umbraco.content - Loaded Xml from file.
 2016-11-20 09:22:08,304 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-20 09:22:08,306 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2016-11-20 09:22:50,326 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-11-20 09:22:50,332 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 6ms)
 2016-11-20 09:22:50,336 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-11-20 09:22:50,340 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 3ms)
 2016-11-20 09:22:50,379 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-11-20 09:22:50,382 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-11-20 09:22:53,848 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IAction
 2016-11-20 09:22:53,895 [P7228/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IAction, found 0 (took 46ms)
 2016-11-20 09:23:07,833 [P7228/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-11-19 09:23:07
 2016-11-20 09:23:20,472 [P7228/D2/T14] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Liên hệ' with Id '1126' has been published.
 2016-11-20 09:23:20,624 [P7228/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-11-20 09:23:20,626 [P7228/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 1ms)
 2016-11-20 09:23:24,863 [P7228/D2/T12] INFO  umbraco.content - Save Xml to file...
 2016-11-20 09:23:24,871 [P7228/D2/T12] INFO  umbraco.content - Saved Xml to file.
 2016-11-20 09:23:47,833 [P7228/D2/T14] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Dự án' with Id '1095' has been published.
 2016-11-20 09:23:52,196 [P7228/D2/T18] INFO  umbraco.content - Save Xml to file...
 2016-11-20 09:23:52,199 [P7228/D2/T18] INFO  umbraco.content - Saved Xml to file.
 2016-11-20 09:23:57,173 [P7228/D2/T15] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Trang chủ' with Id '1093' has been published.
 2016-11-20 09:24:01,517 [P7228/D2/T18] INFO  umbraco.content - Save Xml to file...
 2016-11-20 09:24:01,540 [P7228/D2/T18] INFO  umbraco.content - Saved Xml to file.
 2016-11-20 09:25:55,817 [P7228/D2/T40] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-11-20 09:26:03,363 [P7228/D2/T36] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-11-20 09:26:03,363 [P7228/D2/T36] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-11-20 09:26:03,519 [P7228/D2/T30] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-11-20 09:26:03,521 [P7228/D2/T30] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 2ms)
 2016-11-20 09:26:03,538 [P7228/D2/T30] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-11-20 09:26:03,541 [P7228/D2/T30] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 2ms)
 2016-11-20 09:26:38,777 [P7228/D2/T36] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:26:44,049 [P7228/D2/T42] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2016-11-20 09:26:44,050 [P7228/D2/T42] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2016-11-20 09:26:44,050 [P7228/D2/T42] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2016-11-20 09:28:50,563 [P7228/D2/T28] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:28:54,589 [P7228/D2/T40] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:29:00,595 [P7228/D2/T39] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:29:13,375 [P7228/D2/T37] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2016-11-20 09:29:13,375 [P7228/D2/T37] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2016-11-20 09:29:13,375 [P7228/D2/T37] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2016-11-20 09:29:25,412 [P7228/D2/T40] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:29:32,833 [P7228/D2/T40] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:34:05,141 [P7228/D2/T13] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-11-20 09:34:53,257 [P7228/D2/T20] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2016-11-20 09:34:53,300 [P7228/D2/T20] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 42ms)
 2016-11-20 09:35:41,206 [P7228/D2/T51] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Nhà tài trợ' with Id '1137' has been published.
 2016-11-20 09:35:45,402 [P7228/D2/T18] INFO  umbraco.content - Save Xml to file...
 2016-11-20 09:35:45,422 [P7228/D2/T18] INFO  umbraco.content - Saved Xml to file.
